,ins_true_x,ins_true_y,ins_x,ins_y
69,690,690,679.968466,724.2881735
70,700,700,688.2273799,729.3751412
71,710,710,705.7148123,735.9007639
72,720,720,712.0556729,749.1844845
73,730,730,715.9805634,758.5463154
74,740,740,728.3265563,758.8539566
75,750,750,739.037296,761.4214888
76,760,760,745.7667241,776.6784442
77,770,770,755.654446,784.3701979
78,780,780,762.4744638,795.5956687
79,790,790,779.0261498,805.2727019
80,800,800,793.9463072,820.8722972
81,810,810,805.7388565,825.0864315
82,820,820,816.627406,837.0919827
83,830,830,831.3424113,859.6310811
84,840,840,845.6789488,875.88152
85,850,850,859.5207439,881.9227053
86,860,860,862.060595,887.1599009
87,870,870,868.8596925,893.221133
88,880,880,884.1249505,904.2111438
89,890,890,887.2198952,907.5676843
90,900,900,907.6156657,920.346517
91,910,910,923.901338,936.5736932
92,920,920,930.2768608,953.4564711
93,930,930,943.479839,968.1292678
94,940,940,953.6366,972.2110168
95,950,950,959.0007102,992.5846858
96,960,960,971.7152211,1001.920845
97,970,970,978.670907,1012.353849
98,980,980,997.3724003,1026.137745
99,990,990,999.2534714,1052.988043
100,1000,1000,1014.199317,1066.123735
101,1010,1010,1026.473096,1069.334845
102,1020,1020,1044.64441,1076.64407
103,1030,1030,1053.357221,1083.81571
104,1040,1040,1061.169416,1088.936139
105,1050,1050,1071.28298,1100.123306
106,1060,1060,1076.859333,1112.051621
107,1070,1070,1087.949263,1125.346541
108,1080,1080,1097.134529,1140.733033
109,1090,1090,1096.098645,1151.623532
110,1100,1100,1102.830659,1166.896736
111,1110,1110,1115.06127,1172.863049
112,1120,1120,1124.937057,1181.339832
113,1130,1130,1145.044344,1192.853579
114,1140,1140,1159.904311,1201.87141
115,1150,1150,1169.005023,1217.62179
116,1160,1160,1184.92914,1228.274853
117,1170,1170,1199.045114,1238.254954
118,1180,1180,1213.815913,1251.943627
119,1190,1190,1223.956858,1263.53602
120,1200,1200,1236.660815,1267.879051
121,1210,1210,1242.343539,1275.187389
122,1220,1220,1259.469752,1288.398922
123,1230,1230,1264.903525,1299.790775
124,1240,1240,1274.783838,1323.105993
125,1250,1250,1279.025407,1338.172686
126,1260,1260,1291.909094,1350.928216
127,1270,1270,1293.851406,1360.83704
128,1280,1280,1303.925662,1367.349282
129,1290,1290,1322.473476,1363.324268
130,1300,1300,1335.169469,1373.649436
131,1310,1310,1354.47111,1381.848675
132,1320,1320,1355.064867,1394.570369
133,1330,1330,1367.308879,1400.522571
134,1340,1340,1379.346883,1412.325015
135,1350,1350,1392.015383,1413.456006
136,1360,1360,1401.562706,1430.763655
137,1370,1370,1402.733836,1448.924038
138,1380,1380,1419.729436,1458.783552
139,1390,1390,1427.901304,1468.277188
140,1400,1400,1430.375502,1482.637818
141,1410,1410,1432.137168,1493.117437
142,1420,1420,1440.043525,1505.955284
143,1430,1430,1451.433949,1509.44558
144,1440,1440,1454.704338,1512.855067
145,1450,1450,1463.371765,1514.016712
146,1460,1460,1469.686124,1530.677707
147,1470,1470,1476.686316,1555.718833
148,1480,1480,1483.95041,1562.713036
149,1490,1490,1492.990099,1578.77746
150,1500,1500,1506.027876,1585.932776
151,1510,1510,1511.012774,1595.546365
152,1520,1520,1524.434905,1601.782519
153,1530,1530,1543.871681,1612.063649
154,1540,1540,1547.248992,1609.477562
155,1550,1550,1558.318925,1612.198503
156,1560,1560,1568.996948,1622.56699
157,1570,1570,1581.028242,1629.479134
158,1580,1580,1592.905896,1647.589365
159,1590,1590,1599.267592,1648.353235
160,1600,1600,1601.438434,1659.63671
161,1610,1610,1620.145367,1674.845009
162,1620,1620,1623.637956,1687.745234
163,1630,1630,1639.352695,1705.25857
164,1640,1640,1649.512699,1713.28889
165,1650,1650,1663.694793,1726.727675
166,1660,1660,1667.245273,1731.489861
167,1670,1670,1676.735457,1741.471472
168,1680,1680,1678.848737,1749.31377
169,1690,1690,1678.702661,1753.247053
170,1700,1700,1684.998751,1767.034237
171,1710,1710,1692.247846,1777.087442
172,1720,1720,1702.405118,1775.225651
173,1730,1730,1707.732615,1787.616592
174,1740,1740,1710.54667,1791.483925
175,1750,1750,1726.135931,1800.609648
176,1760,1760,1738.731221,1805.662791
177,1770,1770,1746.172434,1812.340986
178,1780,1780,1758.599888,1820.810825
179,1790,1790,1778.672044,1828.976719
180,1800,1800,1801.183456,1799.560127
181,1810,1810,1819.298495,1804.948066
182,1820,1820,1834.270326,1802.736906
183,1830,1830,1848.020965,1815.156786
184,1840,1840,1861.445901,1823.947282
185,1850,1850,1872.218175,1839.573188
186,1860,1860,1883.43376,1850.51747
187,1870,1870,1891.205024,1861.568768
188,1880,1880,1898.345693,1869.832287
189,1890,1890,1915.425853,1883.451993
190,1900,1900,1915.464754,1893.54011
191,1910,1910,1918.187846,1903.181278
192,1920,1920,1935.159904,1906.031246
193,1930,1930,1948.829404,1912.059558
194,1940,1940,1971.16673,1916.017077
195,1950,1950,1982.660016,1925.294973
196,1960,1960,1992.134982,1938.737054
197,1970,1970,2002.860008,1953.194262
198,1980,1980,2012.562708,1960.542331
199,1990,1990,2025.140211,1967.326693
200,2000,2000,2031.072188,1974.745196
201,2010,2010,2041.767267,1993.389696
202,2020,2020,2048.476548,2006.829244
203,2030,2030,2062.547781,2005.333596
204,2040,2040,2074.569635,2012.69343
205,2050,2050,2087.196446,2019.568103
206,2060,2060,2102.631525,2029.514056
207,2070,2070,2114.21544,2049.862804
208,2080,2080,2120.927842,2051.759797
209,2090,2090,2136.591373,2060.689855
210,2100,2100,2152.64248,2074.306237
211,2110,2110,2166.908,2082.303684
212,2120,2120,2177.43188,2096.471926
213,2130,2130,2185.829392,2105.887753
214,2140,2140,2193.537417,2121.402826
215,2150,2150,2204.138684,2135.716599
216,2160,2160,2218.810227,2142.985297
217,2170,2170,2237.296094,2157.984955
218,2180,2180,2242.172527,2173.834331
219,2190,2190,2248.1787,2185.419799
220,2200,2200,2258.045805,2198.116341
221,2210,2210,2271.862449,2208.994815
222,2220,2220,2288.884807,2211.47057
223,2230,2230,2302.006852,2222.379198
224,2240,2240,2306.739543,2230.884852
225,2250,2250,2318.879992,2236.070341
226,2260,2260,2332.220692,2245.407443
227,2270,2270,2338.011843,2257.652117
228,2280,2280,2352.279298,2269.916046
229,2290,2290,2365.249578,2285.418127
230,2300,2300,2375.101585,2283.807724
231,2310,2310,2399.709071,2288.927027
232,2320,2320,2414.347115,2300.472781
233,2330,2330,2421.29622,2315.88087
234,2340,2340,2436.93184,2337.287036
235,2350,2350,2451.630212,2342.842511
236,2360,2360,2466.584786,2355.297279
237,2370,2370,2473.691381,2361.266114
238,2380,2380,2479.10586,2373.567733
239,2390,2390,2490.958877,2381.194847
240,2400,2400,2488.018,2394.890452
241,2410,2410,2501.021245,2402.909985
242,2420,2420,2508.267819,2411.723471
243,2430,2430,2508.201464,2426.858075
244,2440,2440,2526.861312,2436.651657
245,2450,2450,2523.426186,2439.027585
246,2460,2460,2529.301215,2453.799887
247,2470,2470,2545.904672,2468.28033
248,2480,2480,2554.924362,2467.417106
249,2490,2490,2562.217942,2474.408182
250,2500,2500,2577.116298,2490.799286
251,2510,2510,2593.69553,2511.467991
252,2520,2520,2602.666325,2522.080021
253,2530,2530,2612.496242,2527.855584
254,2540,2540,2631.561172,2534.88716
255,2550,2550,2642.02005,2552.237003
256,2560,2560,2658.676968,2555.504243
257,2570,2570,2672.611386,2567.181645
258,2580,2580,2684.525953,2584.144492
259,2590,2590,2698.720942,2606.001892
260,2600,2600,2711.46611,2612.584066
261,2610,2610,2722.807778,2617.268459
262,2620,2620,2742.359263,2625.783394
263,2630,2630,2750.602385,2638.392386
264,2640,2640,2759.209997,2653.491952
265,2650,2650,2763.655062,2659.061894
266,2660,2660,2782.423936,2671.942902
267,2670,2670,2790.679062,2680.175867
268,2680,2680,2798.751039,2690.328138
269,2690,2690,2814.152743,2709.942409
270,2700,2700,2815.307795,2719.682728
271,2710,2710,2824.841743,2728.702278
272,2720,2720,2835.743151,2742.696576
273,2730,2730,2844.354044,2751.270339
274,2740,2740,2859.688106,2753.486219
275,2750,2750,2877.093896,2768.36685
276,2760,2760,2883.292741,2773.534642
277,2770,2770,2890.814704,2776.258917
278,2780,2780,2900.329455,2794.958873
279,2790,2790,2907.888794,2795.776412
280,2800,2800,2919.845443,2808.814256
281,2810,2810,2946.984053,2813.85781
282,2820,2820,2958.404491,2811.320005
283,2830,2830,2972.580141,2803.725529
284,2840,2840,2984.673162,2806.836896
285,2850,2850,2984.428072,2828.773383
286,2860,2860,2990.775905,2839.978751
287,2870,2870,3006.024776,2855.080718
288,2880,2880,3013.29594,2869.070715
289,2890,2890,3020.579912,2878.711111
290,2900,2900,3031.343824,2891.63482
291,2910,2910,3050.476657,2896.041844
292,2920,2920,3059.306229,2906.065559
293,2930,2930,3062.347027,2914.329977
294,2940,2940,3075.964889,2923.677593
295,2950,2950,3085.165464,2925.884145
296,2960,2960,3092.443754,2931.668993
297,2970,2970,3099.343109,2941.358981
298,2980,2980,3110.519076,2949.892596
299,2990,2990,3116.331058,2962.837831
300,3000,3000,3130.282891,2967.451321
301,3010,3010,3138.964794,2975.987527
302,3020,3020,3159.186099,2995.880288
303,3030,3030,3169.519825,3006.86224
304,3040,3040,3176.977327,3012.401175
305,3050,3050,3181.858,3017.746616
306,3060,3060,3183.980811,3027.300523
307,3070,3070,3201.372104,3021.965738
308,3080,3080,3216.336909,3032.708201
309,3090,3090,3225.658434,3049.159299
310,3100,3100,3237.710844,3049.204591
311,3110,3110,3242.999411,3060.76898
312,3120,3120,3252.268197,3076.235266
313,3130,3130,3258.734273,3089.693386
314,3140,3140,3266.2194,3099.974536
315,3150,3150,3277.339672,3115.708639
316,3160,3160,3289.573302,3136.813382
317,3170,3170,3299.970786,3151.469241
318,3180,3180,3315.415386,3150.705221
319,3190,3190,3317.983652,3161.040105
320,3200,3200,3340.433682,3172.492258
321,3210,3210,3349.066671,3175.623634
322,3220,3220,3351.548353,3185.725061
323,3230,3230,3361.494421,3190.702444
324,3240,3240,3375.804662,3211.717606
325,3250,3250,3387.332869,3231.600048
326,3260,3260,3393.99765,3236.253048
327,3270,3270,3408.985915,3245.317965
328,3280,3280,3416.905949,3257.163288
329,3290,3290,3422.148005,3271.591448
330,3300,3300,3427.734359,3290.146931
331,3310,3310,3446.796249,3300.994024
332,3320,3320,3465.672052,3316.256632
333,3330,3330,3479.762666,3317.9663
334,3340,3340,3493.804606,3323.724118
335,3350,3350,3506.785091,3337.132103
336,3360,3360,3517.853324,3354.73235
337,3370,3370,3533.959935,3358.12006
338,3380,3380,3554.225953,3365.878196
339,3390,3390,3569.179184,3385.645907
340,3400,3400,3588.99572,3392.477346
341,3410,3410,3601.768572,3408.867823
342,3420,3420,3604.171651,3421.273119
343,3430,3430,3623.332479,3435.46376
344,3440,3440,3625.945818,3451.553026
345,3450,3450,3637.278916,3467.909715
346,3460,3460,3650.093183,3464.247568
347,3470,3470,3658.54857,3474.396449
348,3480,3480,3660.978011,3491.231627
349,3490,3490,3668.686619,3504.282371
350,3500,3500,3675.390948,3515.346171
351,3510,3510,3689.384866,3526.371677
352,3520,3520,3704.852467,3542.937818
353,3530,3530,3709.56745,3556.323904
354,3540,3540,3724.93866,3565.519484
355,3550,3550,3729.085755,3584.795576
356,3560,3560,3727.792035,3596.481312
357,3570,3570,3735.070595,3600.09635
358,3580,3580,3741.237986,3617.129291
359,3590,3590,3756.99948,3623.455883
360,3600,3600,3600.046753,3599.790746
361,3610,3610,3607.165247,3610.220127
362,3620,3620,3618.500618,3622.497772
363,3630,3630,3621.008197,3628.90195
364,3640,3640,3632.153173,3636.170432
365,3650,3650,3648.864987,3651.819753
366,3660,3660,3656.366557,3662.441492
367,3670,3670,3657.974271,3662.522182
368,3680,3680,3669.560626,3677.314574
369,3690,3690,3688.789699,3678.393084
370,3700,3700,3693.823299,3694.19329
371,3710,3710,3700.912763,3695.673296
372,3720,3720,3709.960278,3698.338685
373,3730,3730,3731.571604,3706.230698
374,3740,3740,3738.989023,3718.135301
375,3750,3750,3741.778499,3733.226778
376,3760,3760,3753.203164,3740.36331
377,3770,3770,3762.610842,3747.239021
378,3780,3780,3765.767405,3744.339509
379,3790,3790,3776.51171,3758.369527
380,3800,3800,3797.60101,3767.859912
381,3810,3810,3801.863895,3775.305356
382,3820,3820,3825.772533,3779.222213
383,3830,3830,3830.759229,3789.613718
384,3840,3840,3842.957901,3807.6545
385,3850,3850,3846.04214,3818.560538
386,3860,3860,3852.071561,3827.013861
387,3870,3870,3852.622883,3835.711121
388,3880,3880,3849.178596,3844.930479
389,3890,3890,3861.898261,3853.137089
390,3900,3900,3873.990028,3863.68402
391,3910,3910,3884.319944,3866.338935
392,3920,3920,3890.554921,3867.118367
393,3930,3930,3899.445207,3875.511225
394,3940,3940,3918.596869,3881.971166
395,3950,3950,3929.166565,3893.268872
396,3960,3960,3936.961307,3905.811188
397,3970,3970,3953.067136,3922.55629
398,3980,3980,3974.003662,3937.233315
399,3990,3990,3985.766509,3943.323448
400,4000,4000,4000.205514,3959.380255
401,4010,4010,4009.432577,3977.288733
402,4020,4020,4027.072866,3984.658088
403,4030,4030,4040.786295,3987.853472
404,4040,4040,4045.791013,3999.388847
405,4050,4050,4059.014512,4010.114718
406,4060,4060,4075.505835,4019.246778
407,4070,4070,4085.936564,4027.034645
408,4080,4080,4087.138139,4037.831986
409,4090,4090,4099.83207,4050.622032
410,4100,4100,4111.65673,4052.218304
411,4110,4110,4123.866613,4070.33522
412,4120,4120,4139.810228,4085.740262
413,4130,4130,4149.420061,4105.333438
414,4140,4140,4164.689836,4102.708711
415,4150,4150,4179.289175,4111.848732
416,4160,4160,4194.422074,4123.348773
417,4170,4170,4202.677753,4140.15978
418,4180,4180,4208.036632,4143.651233
419,4190,4190,4218.790909,4141.675141
420,4200,4200,4238.092572,4159.596278
421,4210,4210,4254.185668,4160.955498
422,4220,4220,4270.420616,4173.86935
423,4230,4230,4273.928664,4180.475175
424,4240,4240,4277.90515,4190.29215
425,4250,4250,4292.183927,4204.074106
426,4260,4260,4297.744233,4230.465553
427,4270,4270,4315.646611,4237.327014
428,4280,4280,4324.35553,4250.101002
429,4290,4290,4338.446858,4262.885686
430,4300,4300,4350.777047,4269.601013
431,4310,4310,4367.921705,4281.769159
432,4320,4320,4376.943157,4290.955447
433,4330,4330,4385.421599,4297.287515
434,4340,4340,4398.235789,4309.536019
435,4350,4350,4409.555832,4322.959924
436,4360,4360,4413.816603,4332.169687
437,4370,4370,4418.829037,4342.995067
438,4380,4380,4425.612909,4354.285067
439,4390,4390,4428.077442,4359.214984
440,4400,4400,4436.530421,4368.200031
441,4410,4410,4440.875925,4386.555611
442,4420,4420,4466.669228,4389.967574
443,4430,4430,4472.250216,4394.802407
444,4440,4440,4489.458678,4399.581747
445,4450,4450,4500.988671,4411.627924
446,4460,4460,4503.802626,4417.879967
447,4470,4470,4515.923748,4428.750843
448,4480,4480,4517.544428,4435.301763
449,4490,4490,4528.264196,4439.831371
450,4500,4500,4544.768616,4456.521104
451,4510,4510,4561.3047,4469.186959
452,4520,4520,4580.002844,4478.323732
453,4530,4530,4591.782886,4494.090485
454,4540,4540,4598.11751,4512.154416
455,4550,4550,4614.227604,4520.011183
456,4560,4560,4620.062156,4529.937176
457,4570,4570,4634.949696,4541.909536
458,4580,4580,4641.781677,4554.595175
459,4590,4590,4646.095979,4566.269666
460,4600,4600,4649.848946,4575.333915
461,4610,4610,4653.303661,4580.685899
462,4620,4620,4659.112994,4600.584585
463,4630,4630,4669.458381,4611.788554
464,4640,4640,4675.618687,4630.681544
465,4650,4650,4684.05554,4628.645721
466,4660,4660,4704.677492,4630.664566
467,4670,4670,4708.194372,4640.167877
468,4680,4680,4727.251031,4653.701949
469,4690,4690,4736.295587,4660.406528
470,4700,4700,4741.135757,4677.684593
471,4710,4710,4747.55463,4689.148709
472,4720,4720,4756.855782,4690.690116
473,4730,4730,4767.621815,4706.502767
474,4740,4740,4783.82761,4707.932006
475,4750,4750,4803.190536,4720.155492
476,4760,4760,4811.342812,4734.115894
477,4770,4770,4826.204423,4749.931539
478,4780,4780,4835.753354,4763.259818
479,4790,4790,4845.815475,4766.670122
480,4800,4800,4853.867894,4774.539274
481,4810,4810,4862.212368,4779.512373
482,4820,4820,4875.096615,4785.996343
483,4830,4830,4882.91572,4789.328313
484,4840,4840,4903.118928,4797.881436
485,4850,4850,4920.984208,4804.702185
486,4860,4860,4933.273203,4808.422821
487,4870,4870,4956.92733,4825.162923
488,4880,4880,4965.086892,4826.999395
489,4890,4890,4975.040636,4822.598616
490,4900,4900,4988.670503,4849.626555
491,4910,4910,5008.188639,4861.595606
492,4920,4920,5027.406114,4872.335697
493,4930,4930,5035.6207,4884.065258
494,4940,4940,5046.801373,4897.173462
495,4950,4950,5061.89533,4904.750755
496,4960,4960,5078.376363,4921.729486
497,4970,4970,5080.972532,4936.214273
498,4980,4980,5090.155759,4943.274921
499,4990,4990,5099.605098,4949.89185
500,5000,5000,5111.952171,4960.094375
501,5010,5010,5122.692106,4972.697229
502,5020,5020,5122.510729,4986.018641
503,5030,5030,5134.885555,5001.553382
504,5040,5040,5158.472136,5005.229857
505,5050,5050,5170.357354,5002.528163
506,5060,5060,5182.642227,5019.031316
507,5070,5070,5198.528109,5035.126171
508,5080,5080,5219.351339,5049.991565
509,5090,5090,5228.904677,5058.263105
510,5100,5100,5241.217527,5071.762619
511,5110,5110,5252.644457,5087.537343
512,5120,5120,5259.918918,5103.36498
513,5130,5130,5275.582531,5110.33234
514,5140,5140,5289.684122,5123.524409
515,5150,5150,5301.856528,5132.457638
516,5160,5160,5316.11135,5138.745965
517,5170,5170,5329.728923,5144.592735
518,5180,5180,5341.502876,5161.136653
519,5190,5190,5350.535991,5162.604445
520,5200,5200,5347.598424,5172.165107
521,5210,5210,5356.572897,5188.953707
522,5220,5220,5369.74655,5201.046324
523,5230,5230,5375.82401,5219.711189
524,5240,5240,5380.23725,5231.143004
525,5250,5250,5387.124075,5235.517398
526,5260,5260,5396.212354,5243.715268
527,5270,5270,5414.331317,5250.68886
528,5280,5280,5412.534462,5268.188763
529,5290,5290,5410.397142,5271.445303
530,5300,5300,5430.345702,5287.384857
531,5310,5310,5439.29038,5285.22172
532,5320,5320,5440.043187,5293.034481
533,5330,5330,5445.026534,5301.111405
534,5340,5340,5450.185901,5313.70201
535,5350,5350,5461.52912,5322.372891
536,5360,5360,5472.478401,5335.625204
537,5370,5370,5485.676398,5347.926574
538,5380,5380,5496.291157,5362.33664
539,5390,5390,5509.553942,5372.070724
540,5400,5400,5396.094436,5390.572176
541,5410,5410,5402.202333,5399.646268
542,5420,5420,5416.639819,5398.436081
543,5430,5430,5427.423899,5409.674025
544,5440,5440,5443.172759,5417.641136
545,5450,5450,5447.908113,5432.704183
546,5460,5460,5457.556598,5444.771182
547,5470,5470,5462.949136,5460.117322
548,5480,5480,5478.254983,5465.774277
549,5490,5490,5486.80518,5482.248272
550,5500,5500,5485.983052,5492.970815
551,5510,5510,5489.139045,5512.52721
552,5520,5520,5502.934983,5518.160504
553,5530,5530,5506.194539,5523.474792
554,5540,5540,5510.105806,5541.42558
555,5550,5550,5527.153647,5556.437759
556,5560,5560,5533.78598,5565.424418
557,5570,5570,5540.38564,5575.48249
558,5580,5580,5553.99739,5590.137362
559,5590,5590,5562.849412,5594.456555
560,5600,5600,5573.107317,5608.511178
561,5610,5610,5578.137828,5615.667457
562,5620,5620,5588.189284,5617.620609
563,5630,5630,5598.94752,5625.525236
564,5640,5640,5600.47183,5639.643487
565,5650,5650,5623.807589,5649.949189
566,5660,5660,5641.100336,5655.947224
567,5670,5670,5645.066139,5673.936693
568,5680,5680,5653.077378,5689.920476
569,5690,5690,5653.708999,5712.035612
570,5700,5700,5657.512821,5724.589801
571,5710,5710,5670.739353,5733.555722
572,5720,5720,5683.969592,5735.725047
573,5730,5730,5697.209937,5750.387969
574,5740,5740,5710.009298,5759.361519
575,5750,5750,5719.220627,5760.910539
576,5760,5760,5732.216011,5778.080573
577,5770,5770,5739.078989,5794.523004
578,5780,5780,5737.493581,5800.340464
579,5790,5790,5750.808321,5818.506831
580,5800,5800,5769.583167,5832.776767
581,5810,5810,5774.921467,5843.193389
582,5820,5820,5795.503941,5858.12647
583,5830,5830,5808.004714,5872.064968
584,5840,5840,5810.186977,5901.870156
585,5850,5850,5822.988319,5919.378147
586,5860,5860,5827.419522,5923.338897
587,5870,5870,5824.482015,5934.031154
588,5880,5880,5833.418589,5943.5934
589,5890,5890,5838.602414,5957.916721
590,5900,5900,5850.444595,5961.750081
591,5910,5910,5868.511993,5975.163519
592,5920,5920,5875.160866,5995.97573
593,5930,5930,5877.308584,6005.624506
594,5940,5940,5890.861342,6009.456131
595,5950,5950,5897.949279,6012.756302
596,5960,5960,5907.119471,6025.09
597,5970,5970,5917.994669,6033.621071
598,5980,5980,5924.009153,6048.715191
599,5990,5990,5930.863019,6052.617055
600,6000,6000,5935.473654,6060.330461
601,6010,6010,5953.558061,6073.325078
602,6020,6020,5969.493985,6081.936275
603,6030,6030,5979.251738,6085.616481
604,6040,6040,5999.71597,6089.978509
605,6050,6050,6008.073567,6089.347231
606,6060,6060,6009.989477,6096.023733
607,6070,6070,6026.246982,6107.148909
608,6080,6080,6038.354975,6113.97966
609,6090,6090,6038.946051,6125.144512
610,6100,6100,6053.813892,6130.153611
611,6110,6110,6063.586244,6148.628571
612,6120,6120,6077.268822,6154.286277
613,6130,6130,6087.131285,6160.344889
614,6140,6140,6096.013297,6167.038523
615,6150,6150,6112.857318,6183.69905
616,6160,6160,6123.930282,6197.058861
617,6170,6170,6141.857412,6213.581251
618,6180,6180,6157.307266,6222.66642
619,6190,6190,6162.000252,6232.252244
620,6200,6200,6173.593748,6239.893015
621,6210,6210,6177.90519,6253.363179
622,6220,6220,6189.095201,6264.103986
623,6230,6230,6201.258303,6279.240585
624,6240,6240,6213.558797,6290.806099
625,6250,6250,6227.355086,6302.684853
626,6260,6260,6242.259921,6313.148711
627,6270,6270,6242.446181,6308.059876
628,6280,6280,6252.645133,6315.253685
629,6290,6290,6273.368867,6322.282552
630,6300,6300,6281.398173,6331.757692
631,6310,6310,6291.318358,6348.92692
632,6320,6320,6301.802726,6367.730774
633,6330,6330,6316.715107,6372.328618
634,6340,6340,6326.426903,6382.163308
635,6350,6350,6333.985669,6406.53624
636,6360,6360,6357.444566,6410.811247
637,6370,6370,6365.770102,6426.712734
638,6380,6380,6362.932358,6437.811044
639,6390,6390,6373.493617,6448.790835
640,6400,6400,6388.734354,6443.075262
641,6410,6410,6399.92078,6452.150291
642,6420,6420,6402.231855,6457.613711
643,6430,6430,6410.413095,6470.599019
644,6440,6440,6416.006564,6489.977888
645,6450,6450,6422.725436,6505.777017
646,6460,6460,6435.341481,6514.239328
647,6470,6470,6445.654587,6530.538728
648,6480,6480,6455.136288,6536.046361
649,6490,6490,6462.160667,6548.597838
650,6500,6500,6470.420516,6546.468484
651,6510,6510,6476.965734,6552.974972
652,6520,6520,6483.960771,6559.612615
653,6530,6530,6496.183234,6577.026763
654,6540,6540,6505.923249,6590.875705
655,6550,6550,6513.821131,6594.7591
656,6560,6560,6520.425279,6607.268123
657,6570,6570,6533.512442,6616.903134
658,6580,6580,6540.540237,6624.384291
659,6590,6590,6549.012166,6626.766474
660,6600,6600,6558.472506,6638.822728
661,6610,6610,6564.452899,6648.9549
662,6620,6620,6554.688733,6653.718287
663,6630,6630,6564.133265,6664.096946
664,6640,6640,6581.67592,6673.936059
665,6650,6650,6606.911224,6691.134221
666,6660,6660,6606.991253,6706.22623
667,6670,6670,6618.685144,6711.970522
668,6680,6680,6633.302874,6723.303407
669,6690,6690,6640.172862,6742.796967
670,6700,6700,6649.031208,6745.000644
671,6710,6710,6655.057346,6751.189966
672,6720,6720,6672.665111,6761.777996
673,6730,6730,6687.77281,6782.262071
674,6740,6740,6702.311721,6778.10454
675,6750,6750,6717.761292,6788.837169
676,6760,6760,6725.745874,6805.515542
677,6770,6770,6734.646914,6813.994516
678,6780,6780,6740.99328,6826.464441
679,6790,6790,6753.952227,6841.303822
680,6800,6800,6770.926279,6853.394359
681,6810,6810,6783.959729,6864.751959
682,6820,6820,6794.767031,6874.803947
683,6830,6830,6807.01874,6880.611071
684,6840,6840,6817.742501,6879.282607
685,6850,6850,6822.363896,6884.37573
686,6860,6860,6839.769863,6885.632516
687,6870,6870,6848.29079,6894.782388
688,6880,6880,6864.461795,6903.342687
689,6890,6890,6878.525034,6914.608199
690,6900,6900,6880.868781,6935.756346
691,6910,6910,6885.60353,6942.029378
692,6920,6920,6894.599697,6950.819658
693,6930,6930,6903.983619,6964.887103
694,6940,6940,6913.419922,6968.556995
695,6950,6950,6921.47918,6976.536752
696,6960,6960,6930.760856,6990.242651
697,6970,6970,6943.224746,6998.528337
698,6980,6980,6953.469296,7009.000632
699,6990,6990,6966.155848,7011.989925
700,7000,7000,6973.661356,7024.223509
701,7010,7010,6987.559021,7033.225186
702,7020,7020,7001.215315,7054.009232
703,7030,7030,7012.754512,7059.002332
704,7040,7040,7014.027253,7070.613526
705,7050,7050,7016.984679,7085.988818
706,7060,7060,7032.948711,7099.087064
707,7070,7070,7046.808254,7110.287956
